Iter |  Num Line          Lexem       Index   Id/Con      Type
1    |      2                   def      1      0             
2    |      2                   Sum     41      1         func
3    |      2                     (     15      0             
4    |      2                   asd     41      2             
5    |      2                     ,     27      0             
6    |      2                   dsa     41      3             
7    |      2                     )     16      0             
8    |      3                     {     17      0             
9    |      4                   res     41      4             
10   |      4                     =      2      0             
11   |      4                     0     42      1          int
12   |      4                     ;     14      0             
13   |      5                   res     41      5             
14   |      5                     =      2      0             
15   |      5                   asd     41      6             
16   |      5                     +     23      0             
17   |      5                   dsa     41      7             
18   |      5                     ;     14      0             
19   |      6                return     10      0             
20   |      6                   res     41      8             
21   |      6                     ;     14      0             
22   |      7                     }     18      0             
23   |      9                   def      1      0             
24   |      9                  Sum2     41      9         func
25   |      9                     (     15      0             
26   |      9                   asd     41     10             
27   |      9                     ,     27      0             
28   |      9                   dsa     41     11             
29   |      9                     )     16      0             
30   |     10                     {     17      0             
31   |     11                return     10      0             
32   |     11                   asd     41     12             
33   |     11                     +     23      0             
34   |     11                   dsa     41     13             
35   |     11                     ;     14      0             
36   |     12                     }     18      0             
37   |     14                   def      1      0             
38   |     14                OutSum     41     14         func
39   |     14                     (     15      0             
40   |     14                   asd     41     15             
41   |     14                     ,     27      0             
42   |     14                   dsa     41     16             
43   |     14                     )     16      0             
44   |     15                     {     17      0             
45   |     16                   out      5      0             
46   |     16                    <<      6      0             
47   |     16                   Sum     41     17         func
48   |     16                     (     15      0             
49   |     16                   asd     41     18             
50   |     16                     ,     27      0             
51   |     16                   dsa     41     19             
52   |     16                     )     16      0             
53   |     16                     ;     14      0             
54   |     17                     }     18      0             
55   |     19                  main     37      0             
56   |     19                     {     17      0             
57   |     20                 array     41     20          arr
58   |     20                     [     19      0             
59   |     20                     ]     20      0             
60   |     20                     =      2      0             
61   |     20                     {     17      0             
62   |     20                     5     42      2          int
63   |     20                     ,     27      0             
64   |     20                     9     42      3          int
65   |     20                     }     18      0             
66   |     20                     ;     14      0             
67   |     21                   out      5      0             
68   |     21                    <<      6      0             
69   |     21                 array     41     21          arr
70   |     21                     [     19      0             
71   |     21                     1     42      4          int
72   |     21                     ]     20      0             
73   |     21                    <<      6      0             
74   |     21                  endl     12      0             
75   |     21                     ;     14      0             
76   |     22                   out      5      0             
77   |     22                    <<      6      0             
78   |     22                 array     41     22          arr
79   |     22                     [     19      0             
80   |     22                     0     42      5          int
81   |     22                    ..     38      0             
82   |     22                     1     42      6          int
83   |     22                     ]     20      0             
84   |     22                    <<      6      0             
85   |     22                  endl     12      0             
86   |     22                     ;     14      0             
87   |     23                result     41     23             
88   |     23                     =      2      0             
89   |     23                    12     42      7          int
90   |     23                     ;     14      0             
91   |     24                     a     41     24             
92   |     24                     =      2      0             
93   |     24                   2.0     42      8       double
94   |     24                     ;     14      0             
95   |     25                     b     41     25             
96   |     25                     =      2      0             
97   |     25                   0.3     42      9       double
98   |     25                     ;     14      0             
99   |     26                     c     41     26             
100  |     26                     =      2      0             
101  |     26                   0.0     42     10       double
102  |     26                     ;     14      0             
103  |     28                   sum     41     27             
104  |     28                     =      2      0             
105  |     28                  Sum2     41     28         func
106  |     28                     (     15      0             
107  |     28                     a     41     29             
108  |     28                     ,     27      0             
109  |     28                     b     41     30             
110  |     28                     )     16      0             
111  |     28                     ;     14      0             
112  |     29                OutSum     41     31         func
113  |     29                     (     15      0             
114  |     29                     b     41     32             
115  |     29                     ,     27      0             
116  |     29                     a     41     33             
117  |     29                     )     16      0             
118  |     29                     ;     14      0             
119  |     31                    in      3      0             
120  |     31                    >>      4      0             
121  |     31                     a     41     34             
122  |     31                    >>      4      0             
123  |     31                     c     41     35             
124  |     31                     ;     14      0             
125  |     32                   out      5      0             
126  |     32                    <<      6      0             
127  |     32                     5     42     11          int
128  |     32                     *     25      0             
129  |     32                     9     42     12          int
130  |     32                     -     24      0             
131  |     32                     9     42     13          int
132  |     32                    <<      6      0             
133  |     32                  endl     12      0             
134  |     32                     ;     14      0             
135  |     34                 while      7      0             
136  |     34                     (     15      0             
137  |     34                   NOT     36      0             
138  |     34                     -     24      0             
139  |     34                     5     42     14          int
140  |     34                    !=     33      0             
141  |     34                     -     24      0             
142  |     34                   5.0     42     15       double
143  |     34                     )     16      0             
144  |     35                    do      8      0             
145  |     35                     {     17      0             
146  |     36                    if      9      0             
147  |     36                     (     15      0             
148  |     36                     5     42     16          int
149  |     36                     >     29      0             
150  |     36                     3     42     17          int
151  |     36                   AND     34      0             
152  |     36                     (     15      0             
153  |     36                    78     42     18          int
154  |     36                     <     28      0             
155  |     36                   100     42     19          int
156  |     36                    OR     35      0             
157  |     36                     1     42     20          int
158  |     36                    !=     33      0             
159  |     36                     2     42     21          int
160  |     36                     )     16      0             
161  |     36                     )     16      0             
162  |     36                     ?     21      0             
163  |     36                     {     17      0             
164  |     37                    if      9      0             
165  |     37                     (     15      0             
166  |     37                     5     42     22          int
167  |     37                    ==     30      0             
168  |     37                     5     42     23          int
169  |     37                     )     16      0             
170  |     38                  then     11      0             
171  |     38                     {     17      0             
172  |     39                     a     41     36             
173  |     39                     =      2      0             
174  |     39                     5     42     24          int
175  |     39                     ;     14      0             
176  |     40                     }     18      0             
177  |     41                     }     18      0             
178  |     42                     :     22      0             
179  |     42                     {     17      0             
180  |     43                    if      9      0             
181  |     43                     (     15      0             
182  |     43                     5     42     25          int
183  |     43                     >     29      0             
184  |     43                     3     42     26          int
